transaction_id,account_id,amount,merchant_category,hour_of_day,is_fraud
cb4e1b91,ACC-1039,4210.81,Luxury_Retail,1,1
34b9cff8,ACC-1070,3284.16,Luxury_Retail,4,1
36985a2a,ACC-1022,1314.6,Luxury_Retail,4,1
d15a5ba0,ACC-1000,3096.63,Luxury_Retail,4,1
3c8b7e39,ACC-1083,1959.14,Crypto,4,1
97f6ec2b,ACC-1065,2026.21,Luxury_Retail,4,1
f48d2122,ACC-1084,2577.13,Crypto,1,1
b6ad591a,ACC-1039,3160.23,Luxury_Retail,1,1
dc1520ef,ACC-1031,1669.94,Crypto,2,1
16e7885b,ACC-1080,4441.37,Crypto,4,1
9d20b4fb,ACC-1018,2951.2,Luxury_Retail,4,1
55ebff2b,ACC-1022,3244.61,Crypto,1,1
2ab0719f,ACC-1015,3785.0,Luxury_Retail,1,1
da6d01be,ACC-1092,2516.09,Luxury_Retail,3,1
af6637ab,ACC-1060,4105.87,Luxury_Retail,4,1
6635f583,ACC-1080,2492.75,Crypto,3,1
d9f8bce9,ACC-1034,1723.25,Luxury_Retail,1,1
fcaf1412,ACC-1049,2075.84,Crypto,2,1
52b54e28,ACC-1042,3382.92,Crypto,1,1
6bb2c799,ACC-1053,2830.53,Luxury_Retail,1,1
87ec7e39,ACC-1045,2271.59,Crypto,4,1
d21446e4,ACC-1094,1939.94,Luxury_Retail,4,1
74f8d7af,ACC-1055,2843.38,Crypto,4,1
0da73090,ACC-1051,2622.59,Luxury_Retail,3,1
366d2d7f,ACC-1003,3493.26,Luxury_Retail,2,1
2afd697b,ACC-1017,4160.29,Crypto,1,1
d477f361,ACC-1041,4014.01,Crypto,1,1
0d929108,ACC-1096,1622.56,Luxury_Retail,3,1
972eab94,ACC-1002,4321.9,Luxury_Retail,3,1
2a83f43d,ACC-1008,3583.94,Crypto,3,1
a6b18371,ACC-1002,3701.5,Crypto,1,1
04cb8432,ACC-1014,3117.88,Crypto,2,1
5bbc8e22,ACC-1098,2908.49,Crypto,4,1
ea886bb9,ACC-1074,2196.47,Crypto,2,1
1b82185b,ACC-1025,943.73,Luxury_Retail,4,1
abfe9333,ACC-1038,1127.39,Crypto,1,1
1132353f,ACC-1054,3953.57,Crypto,1,1
2ae23ebc,ACC-1053,3264.55,Crypto,3,1
c00f6168,ACC-1058,3851.51,Crypto,4,1
adbf2bb2,ACC-1034,3431.68,Luxury_Retail,2,1
9172fa75,ACC-1093,3098.08,Luxury_Retail,4,1
a2dad3a7,ACC-1057,3012.53,Luxury_Retail,2,1
b6b2bb8a,ACC-1063,1740.1,Luxury_Retail,4,1
55aa6494,ACC-1033,3955.98,Crypto,4,1
ad422097,ACC-1010,2092.24,Luxury_Retail,1,1
734f77b2,ACC-1030,1730.95,Luxury_Retail,4,1
56ca0e54,ACC-1037,3370.72,Luxury_Retail,4,1
9d09add1,ACC-1047,1658.83,Crypto,3,1
b04ac613,ACC-1045,2577.4,Luxury_Retail,4,1
037ddb81,ACC-1015,3415.42,Luxury_Retail,3,1
4f24a970,ACC-1088,3482.69,Luxury_Retail,1,1
fd26f3ce,ACC-1075,1525.8,Crypto,4,1
25d10d2c,ACC-1029,4414.62,Luxury_Retail,1,1
9e9d55b9,ACC-1035,2167.22,Luxury_Retail,1,1
ee5f5ccf,ACC-1081,1016.13,Crypto,3,1
90e74a02,ACC-1036,4019.88,Luxury_Retail,1,1
876797fa,ACC-1032,2563.3,Luxury_Retail,3,1
494de37c,ACC-1062,4284.88,Luxury_Retail,1,1
ee5101a0,ACC-1072,1120.4,Crypto,2,1
15ee8e5d,ACC-1097,4314.31,Crypto,2,1
49cfdb58,ACC-1056,2369.04,Crypto,4,1
f664daaa,ACC-1007,1935.34,Luxury_Retail,3,1
dd8a722a,ACC-1033,3075.15,Crypto,2,1
2be2c34a,ACC-1009,3260.56,Crypto,2,1
343d847d,ACC-1060,1421.34,Luxury_Retail,4,1
12fd1c29,ACC-1058,1913.1,Crypto,3,1
36265fa7,ACC-1084,1109.81,Crypto,3,1
4c5f7bfc,ACC-1028,3784.26,Crypto,4,1
5ded32f9,ACC-1021,3213.87,Luxury_Retail,2,1
d96d4260,ACC-1088,3743.09,Luxury_Retail,4,1
389682e9,ACC-1063,1959.93,Luxury_Retail,3,1
49b4e119,ACC-1032,2447.82,Crypto,4,1
1a0c971d,ACC-1034,944.41,Crypto,1,1
806b4982,ACC-1056,2953.3,Crypto,4,1
fc0146b8,ACC-1062,4193.67,Crypto,4,1
e3bf90e5,ACC-1041,4387.05,Luxury_Retail,3,1
225c45ba,ACC-1063,3295.99,Crypto,3,1
3ea8f5fe,ACC-1040,1901.99,Luxury_Retail,1,1
a5095862,ACC-1000,1771.26,Crypto,4,1
b2300bef,ACC-1066,3250.46,Luxury_Retail,4,1
0549bb5a,ACC-1034,2170.49,Luxury_Retail,4,1
adbda277,ACC-1015,2854.65,Luxury_Retail,4,1
8a7344f2,ACC-1001,955.37,Crypto,2,1
01545a68,ACC-1015,2865.72,Crypto,2,1
15d8d175,ACC-1090,3214.14,Crypto,4,1
e7a18e9f,ACC-1070,1848.0,Luxury_Retail,4,1
82799806,ACC-1098,1377.94,Crypto,2,1
974c746c,ACC-1000,3733.52,Luxury_Retail,3,1
c04a3231,ACC-1068,1882.36,Luxury_Retail,4,1
8a09f7a0,ACC-1041,2617.85,Luxury_Retail,4,1
2da22b69,ACC-1099,4024.05,Crypto,4,1
52a16984,ACC-1084,2349.33,Luxury_Retail,4,1
f8942476,ACC-1064,3742.24,Crypto,4,1
b1d8974f,ACC-1067,4373.54,Luxury_Retail,1,1
00fdd13a,ACC-1083,4173.11,Crypto,2,1
03bba5ff,ACC-1079,4390.34,Crypto,4,1
fef54615,ACC-1068,3378.37,Crypto,3,1
b7f6cebb,ACC-1079,2237.03,Luxury_Retail,4,1
986638a8,ACC-1012,1099.74,Luxury_Retail,2,1
7757c3fa,ACC-1038,3625.35,Crypto,4,1
eba25ce4,ACC-1045,4147.5,Crypto,3,1
98975295,ACC-1072,2218.17,Crypto,2,1
f14f7c66,ACC-1078,3338.57,Crypto,2,1
a1acd75d,ACC-1029,4028.56,Crypto,4,1
df266486,ACC-1001,2533.2,Luxury_Retail,4,1
b193bc2d,ACC-1020,4131.02,Luxury_Retail,3,1
d5fdff7b,ACC-1088,1119.6,Luxury_Retail,3,1
53a9c271,ACC-1061,1762.86,Luxury_Retail,2,1
0c468326,ACC-1089,1239.28,Luxury_Retail,3,1
4d8ae92a,ACC-1087,1927.59,Luxury_Retail,3,1
076c37ed,ACC-1029,3690.84,Crypto,4,1
c6c2b173,ACC-1079,3065.79,Luxury_Retail,2,1
ff91aa22,ACC-1005,1764.79,Crypto,1,1
28fc9d03,ACC-1093,1977.61,Luxury_Retail,1,1
8a3d10c9,ACC-1025,1329.65,Luxury_Retail,3,1
ae3afd28,ACC-1061,1332.38,Luxury_Retail,3,1
6d9d51ed,ACC-1009,4380.95,Luxury_Retail,3,1
85a39b98,ACC-1011,1363.76,Crypto,4,1
396cb0bb,ACC-1058,3735.99,Crypto,3,1
4b48be22,ACC-1013,2195.34,Luxury_Retail,4,1
a30825c5,ACC-1071,3313.15,Luxury_Retail,1,1
ca205cc4,ACC-1059,2047.22,Crypto,1,1
b2e32059,ACC-1005,4169.26,Luxury_Retail,4,1
862877ef,ACC-1030,4303.85,Luxury_Retail,4,1
7a7f8d81,ACC-1047,99.67,Travel,9,0
4b8aa11d,ACC-1095,36.17,Crypto,22,0
83270663,ACC-1012,114.77,Crypto,9,0
095c571a,ACC-1035,202.3,Luxury_Retail,20,0
500df8c1,ACC-1056,26.58,Retail,16,0
5fce63c2,ACC-1047,26.59,Gas_Station,16,0
fcaf695d,ACC-1035,207.92,Travel,16,0
c9972385,ACC-1084,126.74,Gas_Station,8,0
ca55c44f,ACC-1042,3.05,Gas_Station,5,0
45929557,ACC-1008,104.26,Gas_Station,9,0
39d3ffbf,ACC-1027,3.66,Luxury_Retail,22,0
64f6cb79,ACC-1018,3.43,Luxury_Retail,12,0
09526bad,ACC-1018,74.2,Luxury_Retail,5,0
012ca484,ACC-1022,141.33,Gas_Station,22,0
e9332eaf,ACC-1045,122.49,Retail,5,0
6b02fb21,ACC-1002,6.23,Luxury_Retail,12,0
183084de,ACC-1094,51.28,Gas_Station,13,0
9af12bd7,ACC-1008,81.42,Online_Marketplace,21,0
7cc80478,ACC-1075,40.8,Online_Marketplace,19,0
23404cdc,ACC-1078,91.23,Retail,19,0
9cc40237,ACC-1082,196.56,Retail,21,0
be7ce7da,ACC-1051,27.42,Retail,6,0
5c5cafcb,ACC-1056,56.75,Online_Marketplace,8,0
0218faee,ACC-1018,92.47,Retail,7,0
3aa0840f,ACC-1081,4.44,Retail,9,0
bdbb0f4d,ACC-1076,61.09,Travel,22,0
8dbd5339,ACC-1077,65.1,Travel,14,0
7b545def,ACC-1083,87.57,Online_Marketplace,8,0
28929910,ACC-1057,10.06,Crypto,22,0
434227c6,ACC-1058,20.83,Gas_Station,18,0
b7ee6ee3,ACC-1054,10.17,Online_Marketplace,18,0
f820f588,ACC-1087,235.23,Groceries,13,0
263ca202,ACC-1010,48.65,Online_Marketplace,7,0
b318d7d8,ACC-1094,55.77,Retail,18,0
87280da8,ACC-1075,132.25,Groceries,9,0
a0826682,ACC-1015,72.08,Travel,22,0
2fa539fb,ACC-1054,70.89,Online_Marketplace,16,0
1c103c47,ACC-1039,145.97,Luxury_Retail,6,0
983eb351,ACC-1027,82.82,Groceries,8,0
455657aa,ACC-1013,69.69,Gas_Station,20,0
1d8d8333,ACC-1097,123.85,Groceries,22,0
dc0440aa,ACC-1054,67.14,Groceries,23,0
07ccffb0,ACC-1086,38.44,Luxury_Retail,22,0
0e908fd2,ACC-1084,19.89,Crypto,22,0
1e310129,ACC-1034,97.85,Luxury_Retail,13,0
af808904,ACC-1000,21.98,Crypto,14,0
b3bf3482,ACC-1051,3.94,Gas_Station,9,0
de343c5e,ACC-1011,155.71,Retail,9,0
6dc586d5,ACC-1053,84.36,Crypto,21,0
795d0ba5,ACC-1039,126.3,Online_Marketplace,15,0
495f9312,ACC-1010,82.41,Crypto,15,0
66146c84,ACC-1079,11.49,Retail,9,0
cf01c9dd,ACC-1084,17.69,Retail,7,0
8d89cffa,ACC-1053,111.17,Online_Marketplace,20,0
abe89f43,ACC-1044,153.1,Groceries,11,0
66805369,ACC-1086,143.13,Online_Marketplace,8,0
3398a434,ACC-1039,33.92,Travel,20,0
214cd19b,ACC-1007,19.08,Retail,12,0
18e18063,ACC-1098,83.13,Retail,11,0
70a25342,ACC-1015,147.55,Gas_Station,13,0
eb789ac4,ACC-1016,2.08,Retail,20,0
af514776,ACC-1064,31.43,Online_Marketplace,22,0
817b50d7,ACC-1094,60.63,Travel,16,0
77a415a4,ACC-1009,69.62,Retail,18,0
5177d817,ACC-1073,131.25,Luxury_Retail,15,0
dd758b6d,ACC-1051,185.62,Online_Marketplace,18,0
6c674883,ACC-1079,42.8,Retail,15,0
1b112c6c,ACC-1013,150.35,Online_Marketplace,16,0
ebd37329,ACC-1067,86.16,Gas_Station,18,0
1774e7c3,ACC-1043,14.51,Retail,17,0
4658957d,ACC-1065,86.14,Gas_Station,15,0
06907e6c,ACC-1024,203.8,Crypto,8,0
c229ca49,ACC-1082,46.42,Luxury_Retail,16,0
8da964cc,ACC-1018,206.46,Luxury_Retail,9,0
2255d059,ACC-1019,211.97,Groceries,11,0
482035bb,ACC-1080,132.19,Luxury_Retail,7,0
d865b3d7,ACC-1074,58.7,Online_Marketplace,19,0
70145b8b,ACC-1079,20.1,Online_Marketplace,23,0
099356d9,ACC-1008,59.18,Groceries,15,0
a158ca0e,ACC-1035,148.76,Online_Marketplace,19,0
3ffb39ea,ACC-1009,28.03,Travel,6,0
4e25b88b,ACC-1007,85.71,Groceries,19,0
0b126884,ACC-1011,197.79,Groceries,14,0
9f895747,ACC-1074,1.83,Travel,21,0
eabe4cc9,ACC-1073,30.85,Travel,6,0
4206a377,ACC-1060,0.18,Crypto,11,0
da9d3584,ACC-1013,141.54,Travel,9,0
b6a149f0,ACC-1082,82.88,Luxury_Retail,15,0
645d5f87,ACC-1056,2.98,Gas_Station,6,0
7d22c1c2,ACC-1020,101.33,Online_Marketplace,21,0
7ba909fe,ACC-1052,59.71,Groceries,16,0
fe2d98ce,ACC-1006,146.86,Luxury_Retail,15,0
d3883d80,ACC-1012,20.21,Luxury_Retail,15,0
c9caceef,ACC-1092,17.23,Travel,17,0
1079e50d,ACC-1074,10.79,Luxury_Retail,9,0
e3f1d5da,ACC-1083,96.35,Crypto,9,0
5c48eaaa,ACC-1090,79.61,Crypto,17,0
ca45c6ea,ACC-1082,76.11,Retail,14,0
ad60f26d,ACC-1089,50.51,Luxury_Retail,15,0
8e49cb89,ACC-1085,26.54,Luxury_Retail,21,0
807f65ff,ACC-1046,91.54,Online_Marketplace,21,0
76879657,ACC-1098,7.94,Groceries,10,0
2f89b8cf,ACC-1019,15.73,Online_Marketplace,11,0
e19d44d4,ACC-1098,30.23,Retail,14,0
a10f3738,ACC-1043,33.87,Travel,21,0
7306e52f,ACC-1019,90.41,Luxury_Retail,9,0
8e1f2720,ACC-1079,238.62,Gas_Station,10,0
bd5664d1,ACC-1052,67.46,Luxury_Retail,10,0
4db604e4,ACC-1036,75.76,Groceries,12,0
168009e3,ACC-1030,42.56,Luxury_Retail,19,0
e8994ada,ACC-1086,141.88,Groceries,20,0
e1f1d17e,ACC-1036,47.35,Travel,19,0
7c620b98,ACC-1053,56.02,Luxury_Retail,17,0
57dcfca3,ACC-1032,296.32,Gas_Station,11,0
11701ade,ACC-1013,30.76,Retail,20,0
dd4805c3,ACC-1010,80.15,Crypto,21,0
e6593fff,ACC-1065,46.53,Luxury_Retail,10,0
8199dcca,ACC-1028,66.87,Gas_Station,18,0
68917431,ACC-1003,164.28,Luxury_Retail,19,0
23c81434,ACC-1047,125.19,Online_Marketplace,6,0
89d553f4,ACC-1028,129.1,Gas_Station,17,0
1ad43b26,ACC-1091,40.94,Retail,15,0
087a69b0,ACC-1004,190.28,Crypto,15,0
6bcfa768,ACC-1017,90.19,Groceries,20,0
9fb45a54,ACC-1000,108.69,Luxury_Retail,20,0
ade5116e,ACC-1019,269.05,Retail,5,0
f7771cde,ACC-1099,49.05,Travel,21,0
9aece5b4,ACC-1006,6.63,Groceries,12,0
30bb1f50,ACC-1079,59.97,Gas_Station,18,0
a1b7067b,ACC-1063,0.35,Online_Marketplace,7,0
2c1d5649,ACC-1065,105.07,Travel,22,0
3c6de72b,ACC-1054,56.86,Travel,12,0
9817e607,ACC-1053,56.23,Retail,16,0
0713597b,ACC-1008,97.36,Gas_Station,7,0
6ab024bf,ACC-1064,41.94,Travel,22,0
cb88a5a4,ACC-1060,204.99,Travel,5,0
035469fb,ACC-1095,28.33,Retail,17,0
60001476,ACC-1030,17.79,Retail,16,0
872e4fda,ACC-1096,131.35,Crypto,8,0
1d483948,ACC-1069,73.09,Groceries,9,0
0f66e15c,ACC-1089,72.75,Groceries,10,0
cb0a87c4,ACC-1091,180.71,Online_Marketplace,10,0
25f1886c,ACC-1025,110.75,Luxury_Retail,19,0
8aa28b7c,ACC-1039,68.46,Retail,11,0
2a8be601,ACC-1032,75.99,Travel,17,0
0a7aaa87,ACC-1099,128.18,Retail,11,0
f3d7b2ef,ACC-1047,73.7,Retail,15,0
8198bbd0,ACC-1049,82.05,Online_Marketplace,17,0
c4603e04,ACC-1063,102.19,Groceries,10,0
1cad1cd4,ACC-1010,79.7,Groceries,21,0
1fcca315,ACC-1077,75.05,Crypto,18,0
bcd70143,ACC-1041,84.64,Luxury_Retail,10,0
53efbdeb,ACC-1037,18.0,Retail,7,0
c27613ae,ACC-1054,73.23,Groceries,19,0
cdc15aed,ACC-1005,79.31,Gas_Station,19,0
544c2d85,ACC-1035,21.44,Crypto,16,0
eef47166,ACC-1081,236.58,Crypto,6,0
4a6c3794,ACC-1095,97.38,Online_Marketplace,16,0
ef1594aa,ACC-1077,69.13,Crypto,10,0
ef616bb4,ACC-1008,115.66,Crypto,19,0
9760d628,ACC-1072,47.47,Gas_Station,16,0
ac373b36,ACC-1047,128.71,Retail,9,0
93bea271,ACC-1017,165.86,Groceries,19,0
9c56609d,ACC-1083,32.07,Travel,16,0
826cae53,ACC-1094,146.34,Groceries,12,0
b3ad5443,ACC-1071,91.28,Gas_Station,20,0
487fbf1d,ACC-1057,132.21,Retail,13,0
03774b21,ACC-1062,239.68,Gas_Station,14,0
d0d3cc81,ACC-1009,25.46,Gas_Station,8,0
101a619e,ACC-1087,25.37,Online_Marketplace,10,0
1e2c2639,ACC-1090,38.95,Luxury_Retail,15,0
7bacc372,ACC-1038,31.58,Retail,22,0
f17625ed,ACC-1022,42.29,Luxury_Retail,10,0
8c1e40ca,ACC-1015,84.12,Luxury_Retail,16,0
906abf66,ACC-1063,77.67,Gas_Station,9,0
ab41374e,ACC-1047,132.72,Retail,16,0
48554e63,ACC-1011,51.3,Online_Marketplace,22,0
d4c8a73c,ACC-1092,195.35,Retail,14,0
13a5dd61,ACC-1052,23.53,Online_Marketplace,21,0
96880a53,ACC-1040,322.02,Luxury_Retail,23,0
d64851bd,ACC-1087,112.57,Crypto,7,0
6ecd9101,ACC-1099,35.72,Travel,16,0
b988fe56,ACC-1016,57.09,Travel,23,0
baa69082,ACC-1015,98.25,Online_Marketplace,21,0
ea581b93,ACC-1020,27.65,Travel,9,0
f7bd95ab,ACC-1036,121.4,Groceries,12,0
36a3a345,ACC-1081,97.32,Luxury_Retail,7,0
3626871b,ACC-1038,42.72,Travel,13,0
e62a5535,ACC-1082,34.68,Travel,22,0
a64a6a09,ACC-1021,101.48,Gas_Station,23,0
472289de,ACC-1003,5.35,Crypto,15,0
8825238b,ACC-1073,135.64,Retail,6,0
9d636a69,ACC-1079,71.41,Groceries,11,0
dc80897a,ACC-1080,74.57,Crypto,5,0
b916f2e8,ACC-1061,67.32,Travel,14,0
7067e084,ACC-1009,88.53,Gas_Station,17,0
97d9756a,ACC-1053,38.39,Crypto,6,0
ee3c33b7,ACC-1077,65.37,Online_Marketplace,19,0
99fd1857,ACC-1044,55.82,Gas_Station,15,0
413a3f7d,ACC-1071,64.3,Online_Marketplace,9,0
b3cf817b,ACC-1015,85.78,Retail,15,0
bf36c95d,ACC-1012,106.08,Groceries,19,0
745584d6,ACC-1078,158.31,Retail,14,0
de8fe2db,ACC-1041,155.38,Online_Marketplace,12,0
d7c105ae,ACC-1020,87.77,Travel,15,0
28c874ed,ACC-1039,43.78,Online_Marketplace,21,0
c6cb744c,ACC-1064,101.5,Online_Marketplace,5,0
b9928f45,ACC-1045,101.38,Online_Marketplace,12,0
eb57a272,ACC-1076,101.5,Retail,6,0
712d8aee,ACC-1001,435.27,Luxury_Retail,20,0
2695c6e9,ACC-1033,107.09,Luxury_Retail,8,0
255dcca7,ACC-1005,163.56,Crypto,16,0
86cd2ff5,ACC-1024,145.4,Online_Marketplace,6,0
c04f2cc7,ACC-1049,115.14,Groceries,22,0
ed1f540d,ACC-1079,18.47,Travel,19,0
20403347,ACC-1050,125.9,Crypto,8,0
f469144c,ACC-1096,27.28,Groceries,15,0
380deb64,ACC-1051,26.32,Gas_Station,11,0
1f4dc642,ACC-1017,1.46,Travel,6,0
c493a829,ACC-1058,58.19,Crypto,15,0
c6d79ec0,ACC-1078,281.47,Gas_Station,21,0
b28986c0,ACC-1094,136.73,Groceries,10,0
106cabba,ACC-1064,118.63,Luxury_Retail,14,0
bbb6c368,ACC-1090,111.27,Luxury_Retail,21,0
b68682cf,ACC-1002,2.81,Travel,14,0
9a95644e,ACC-1053,158.9,Groceries,15,0
e4bfb41a,ACC-1003,56.43,Travel,14,0
7cc87358,ACC-1100,57.77,Travel,20,0
63ada365,ACC-1092,21.53,Luxury_Retail,23,0
2a95fdc0,ACC-1067,117.96,Retail,23,0
d350fa5a,ACC-1087,23.04,Crypto,17,0
755c6098,ACC-1014,71.65,Gas_Station,6,0
e1ef85ed,ACC-1053,54.56,Gas_Station,5,0
8f7b8740,ACC-1052,15.16,Gas_Station,18,0
7326cd86,ACC-1017,264.39,Travel,20,0
c0e0366f,ACC-1084,113.39,Travel,11,0
0344b722,ACC-1022,152.51,Online_Marketplace,21,0
ed44388e,ACC-1045,68.65,Online_Marketplace,22,0
3f58bc2a,ACC-1024,16.18,Crypto,13,0
4e11f40d,ACC-1028,135.24,Gas_Station,13,0
7fbc62c7,ACC-1090,29.25,Groceries,14,0
77e71c11,ACC-1071,38.53,Online_Marketplace,15,0
ea91887e,ACC-1073,100.5,Luxury_Retail,13,0
b72732f2,ACC-1050,136.58,Crypto,22,0
0547adb5,ACC-1005,70.03,Luxury_Retail,16,0
fd621ece,ACC-1056,16.55,Groceries,7,0
4a0be4e3,ACC-1025,2.51,Crypto,13,0
dcc7ba8a,ACC-1071,15.33,Luxury_Retail,22,0
2a42a4e3,ACC-1078,226.55,Crypto,13,0
8722dbf8,ACC-1006,90.5,Crypto,23,0
f796cb47,ACC-1029,76.09,Crypto,21,0
c2f85fb2,ACC-1091,141.79,Retail,8,0
cf8b0f38,ACC-1017,262.22,Online_Marketplace,8,0
71fb3480,ACC-1083,153.25,Retail,22,0
6f2d7559,ACC-1096,101.94,Online_Marketplace,20,0
e77eae7c,ACC-1007,1.58,Groceries,15,0
92bfb8ee,ACC-1029,176.69,Luxury_Retail,7,0
92b91b6b,ACC-1022,20.77,Travel,6,0
302821ce,ACC-1095,94.38,Retail,17,0
f38c7b22,ACC-1038,127.46,Luxury_Retail,14,0
48d7afe5,ACC-1058,42.69,Travel,8,0
f07b7c84,ACC-1017,44.05,Crypto,22,0
ff6dc84a,ACC-1024,274.13,Luxury_Retail,21,0
4edfc13d,ACC-1093,52.44,Luxury_Retail,8,0
084da073,ACC-1094,24.74,Online_Marketplace,13,0
342a1db1,ACC-1096,74.78,Groceries,14,0
43d6bc86,ACC-1081,213.24,Gas_Station,10,0
b98ea5a4,ACC-1011,93.01,Online_Marketplace,18,0
0db3d2a5,ACC-1061,6.0,Online_Marketplace,8,0
39d00361,ACC-1049,63.07,Groceries,12,0
6eae1ed9,ACC-1038,194.13,Gas_Station,19,0
39f2cc94,ACC-1083,93.59,Travel,23,0
9ad5644a,ACC-1015,166.32,Groceries,12,0
7942aa51,ACC-1087,51.02,Online_Marketplace,14,0
065c2f16,ACC-1081,48.15,Travel,14,0
45182ac0,ACC-1028,96.21,Groceries,16,0
7e3d77a8,ACC-1095,69.91,Gas_Station,20,0
65c08ae0,ACC-1070,10.02,Travel,16,0
42ae9e17,ACC-1027,56.98,Online_Marketplace,22,0
22ce26df,ACC-1076,11.47,Luxury_Retail,12,0
ca047c45,ACC-1067,61.35,Luxury_Retail,7,0
0c1d4912,ACC-1072,116.21,Crypto,16,0
a70c1429,ACC-1064,208.6,Retail,6,0
78054fcd,ACC-1021,73.78,Gas_Station,23,0
c864459d,ACC-1087,263.3,Groceries,21,0
ba691aa4,ACC-1065,145.21,Gas_Station,23,0
658bb3ad,ACC-1065,34.82,Online_Marketplace,6,0
1a8d81cc,ACC-1071,108.83,Online_Marketplace,19,0
049bbf3b,ACC-1032,78.1,Online_Marketplace,14,0
